Site Name,Serial Number,State Datetime,Press State,Site Name,Site Region,delta time [Min.],State delta time
Testing Center,70001996,08/06/2023 12:15,Service,Testing Center,EMEA,80.0024,0.002314884
Testing Center,70001996,08/06/2023 12:15,Service,Testing Center,EMEA,0.0384,1.11E-06
Testing Center,70001996,08/06/2023 12:01,Service,Testing Center,EMEA,47.0012,0.001359988
Testing Center,70001996,08/06/2023 12:01,Service,Testing Center,EMEA,0.0448,1.30E-06
Testing Center,70001995,08/06/2023 11:49,Service,Testing Center,EMEA,72.9216,0.00211
Testing Center,70001995,08/06/2023 11:49,Service,Testing Center,EMEA,0.0256,7.41E-07
Testing Center,70001995,08/06/2023 11:16,Service,Testing Center,EMEA,336.3608,0.009732662
Testing Center,70001995,08/06/2023 11:16,Service,Testing Center,EMEA,0.048,1.39E-06
Testing Center,70001996,08/06/2023 10:51,Service,Testing Center,EMEA,1385.2336,0.040081991
Testing Center,70001996,08/06/2023 10:51,Service,Testing Center,EMEA,0.0416,1.20E-06
Testing Center,70001001,08/06/2023 10:05,Service,Testing Center,EMEA,56.1944,0.001625995
Testing Center,70001001,08/06/2023 10:05,Service,Testing Center,EMEA,0.0224,6.48E-07
Testing Center,70001996,08/06/2023 9:43,Service,Testing Center,EMEA,198.0024,0.005729236
Testing Center,70001996,08/06/2023 9:43,Service,Testing Center,EMEA,0.0416,1.20E-06
Testing Center,70001001,08/06/2023 9:32,Service,Testing Center,EMEA,79.5992,0.002303218
Testing Center,70001001,08/06/2023 9:32,Service,Testing Center,EMEA,0.0512,1.48E-06
Testing Center,70001995,08/06/2023 9:18,Service,Testing Center,EMEA,306.5596,0.008870359
Testing Center,70001995,08/06/2023 9:18,Service,Testing Center,EMEA,0.0544,1.57E-06
Testing Center,70001995,07/06/2023 23:44,Service,Testing Center,EMEA,171.4972,0.004962303
Testing Center,70001995,07/06/2023 23:44,Service,Testing Center,EMEA,0.0512,1.48E-06
Testing Center,70001996,07/06/2023 23:27,Service,Testing Center,EMEA,753.4444,0.021801053
Testing Center,70001996,07/06/2023 23:27,Service,Testing Center,EMEA,0.032,9.26E-07
Testing Center,70001995,07/06/2023 23:15,Service,Testing Center,EMEA,96.8412,0.002802118
Testing Center,70001995,07/06/2023 23:15,Service,Testing Center,EMEA,0.0288,8.33E-07
Testing Center,70001996,07/06/2023 23:12,Service,Testing Center,EMEA,6.5536,0.00018963
Testing Center,70001996,07/06/2023 23:12,Service,Testing Center,EMEA,0.0352,1.02E-06
Testing Center,70001995,07/06/2023 22:24,Service,Testing Center,EMEA,769.64,0.022269676
Testing Center,70001995,07/06/2023 22:24,Service,Testing Center,EMEA,0.0384,1.11E-06
Testing Center,70001995,07/06/2023 19:32,Service,Testing Center,EMEA,43.8396,0.001268507
Testing Center,70001995,07/06/2023 19:32,Service,Testing Center,EMEA,0.0224,6.48E-07
Testing Center,70001995,07/06/2023 17:40,Service,Testing Center,EMEA,2626.4852,0.075997836
Testing Center,70001995,07/06/2023 17:40,Service,Testing Center,EMEA,0.0512,1.48E-06
Testing Center,70001996,07/06/2023 17:02,Service,Testing Center,EMEA,152.6392,0.004416644
Testing Center,70001996,07/06/2023 17:02,Service,Testing Center,EMEA,0.0484,1.40E-06
Testing Center,70001996,07/06/2023 16:57,Service,Testing Center,EMEA,16.842,0.000487326
Testing Center,70001996,07/06/2023 16:57,Service,Testing Center,EMEA,0.048,1.39E-06
Testing Center,70001995,07/06/2023 16:01,Service,Testing Center,EMEA,408.0756,0.011807743
Testing Center,70001995,07/06/2023 16:01,Service,Testing Center,EMEA,0.032,9.26E-07
Testing Center,70001995,07/06/2023 15:40,Service,Testing Center,EMEA,24368.0416,0.705093796
Testing Center,70001995,07/06/2023 15:40,Service,Testing Center,EMEA,0.032,9.26E-07
Testing Center,70001001,07/06/2023 14:42,Service,Testing Center,EMEA,1476.5768,0.042725023
Testing Center,70001001,07/06/2023 14:42,Service,Testing Center,EMEA,0.0224,6.48E-07
